time,camera_id,event
16:17:57,cam01,car detected
16:17:57,cam01,car detected
16:17:57,cam01,car detected
16:17:57,cam02,car detected
16:17:57,cam02,train detected
16:17:57,cam03,truck detected
16:17:57,cam03,car detected
16:17:57,cam03,car detected
16:17:57,cam03,car detected
16:17:58,cam04,car detected
16:18:03,cam01,car detected
16:18:03,cam01,car detected
16:18:03,cam02,car detected
16:18:03,cam02,car detected
16:18:03,cam03,train detected
16:18:03,cam04,car detected
16:18:03,cam04,car detected
16:18:08,cam01,car detected
16:18:08,cam02,truck detected
16:18:09,cam03,train detected
16:18:14,cam01,truck detected
16:18:14,cam01,truck detected
16:18:14,cam01,car detected
16:18:14,cam01,truck detected
16:18:14,cam01,car detected
16:18:14,cam02,bus detected
16:18:14,cam02,car detected
16:18:14,cam03,car detected
16:18:14,cam03,car detected
16:18:14,cam03,train detected
16:18:15,cam04,car detected
16:18:15,cam04,car detected
16:18:15,cam04,truck detected
16:18:15,cam04,car detected
